dataset,status,n_features,refinement_type,r2,rmse,complexity,seconds,error,noise_strength,expr
1030_ERA,success,4,lso,0.41327520819903585,1.5032228732140462,67,10431.016548633575,,0.001,(0.7143695576388719 add (((0.1254948509939107 mul x_0) sub ((-0.27163011926786834 mul x_1) add (0.31471645849919344 mul (((-2.9802801173687254 mul inv((5.831698915832593 add (2.9358721815898483 mul x_1)))) sub (0.04726493360165843 mul x_3)) mul ((0.6160283689056564 mul x_2) sub (-1.1429678022446865 mul cos((0.731429092652393 add (-0.5991635662875373 mul x_3))))))))) add (-0.4751904801038088 mul (((1.719673779620435 mul cos((-0.6004005483813694 add (5.2293492971780005 mul x_0)))) sub (-0.09123840067289621 mul x_2)) mul cos((-0.8823505189496338 add (0.4626544057244489 mul (((0.05930957300639607 mul x_0) sub (0.9421066330217724 mul x_3)) mul x_0))))))))
1089_USCrime,failed,0,lso,nan,nan,nan,nan,Input dimension 13 exceeds max_input_dimension 10,0.001,
1096_FacultySalaries,success,4,lso,0.8065061617526776,2.6891865752755097,23,208.3875470161438,,0.001,(3.2296345300836844 add ((0.7702112886085765 mul x_3) add (1.5113088809048654 mul sin(((-6.769461732683858 mul x_3) add (3.975182050186117 mul (x_1 mul inv((-0.08400660591472262 add (0.49792240554280126 mul x_0))))))))))
1199_BNG_echoMonths,success,9,lso,0.4485041515641075,11.752301540736505,55,9673.592611312866,,0.001,(39.40255892536643 add (((-0.6885317861309866 mul x_0) sub ((0.14353199609649692 mul x_2) add ((0.047346693688729465 mul sqrt((101.64275281438289 add (-1.4541721411583615 mul x_6)))) add (0.22381220763339738 mul x_8)))) mul ((0.1870508688169014 mul x_1) add ((0.12105786526713856 mul abs((38.1520684397588 add (28.152027425299238 mul x_7)))) add ((0.5449237862003617 mul x_3) add (-2.5530998598757226 mul arctan(((-0.8926474361607222 mul x_4) add (214.2009136569591 mul inv((10.92518299950605 add (6.062001905802224 mul x_5))))))))))))
192_vineyard,success,2,lso,0.43533896225147717,4.064132213835743,35,1863.5577204227448,,0.001,(-300.9002749417339 add ((322.1816424534545 mul sin((7.579631341421348 add (0.05107967826517816 mul x_0)))) sub (-137.3483001699435 mul (sin((-2.1601148991893364 add (8.23631283395781 mul x_0))) mul (inv((128.092685934322 add (-24.212781215809343 mul x_1))) mul (x_0 mul cos((-2.5353619541721826 add (2.1670922280539875 mul x_0)))))))))
197_cpu_act,failed,0,lso,nan,nan,nan,nan,Input dimension 21 exceeds max_input_dimension 10,0.001,
218_house_8L,success,8,lso,0.43904438220473796,39422.564977327835,57,8670.656539678574,,0.001,(-70546.66362051187 add ((8.438534029160058 mul (((312.95078419498515 mul inv((-2160.6571896648106 add (455.5045521214494 mul x_0)))) sub ((0.4013393731322459 mul ((-2.4934557622354316 add (-3.512849979065049 mul x_2)))**2) add (91.42063576985154 mul x_1))) mul ((-3.728449918138098 mul abs(((87.81387372339022 mul x_6) add ((-11.848026370384293 mul cos((-2.4785574973724964 add (16.673030060298302 mul x_5)))) sub (499.5525374474213 mul x_1))))) sub (-192.62489613940463 mul x_7)))) add ((387.55862507917146 mul x_3) sub (8799.921878382454 mul x_4))))
225_puma8NH,success,8,lso,0.6837544497393988,3.212600140653621,25,1518.8134624958038,,0.001,(-0.1921159243524215 add ((5.249067853365619 mul sin(((1.2048311773083311 mul x_2) add (1.039160446275721 mul x_1)))) sub ((-3.554707480718328 mul sin((-4.089858017779027 add (-1.0083608307236205 mul x_1)))) sub (-0.05240240653318577 mul x_0))))
227_cpu_small,failed,0,lso,nan,nan,nan,nan,Input dimension 12 exceeds max_input_dimension 10,0.001,
228_elusage,success,2,lso,0.6031180799681695,16.956238458206204,27,294.7884919643402,,0.001,(21.38353922482805 add (((-19.252427777071894 add (0.2579989053768295 mul x_0)))**2 mul inv((2.159506163081366 add (1.0828501620845896 mul (cos((1.5241595344362457 add (7.225503769025148 mul x_1))) mul cos((24.29473928868515 add (0.39816404051267645 mul x_0)))))))))
230_machine_cpu,success,6,lso,0.928350683850888,50.64634842808873,24,337.0850670337677,,0.001,(-3.0084697199573696 add ((1.0061510992393452 mul x_3) add ((23.289845001284824 mul sin((-12073.458081942612 add (-149.62505327437972 mul x_0)))) sub ((-0.004351270670832586 mul x_2) sub (0.00037798781311719417 mul (x_1 mul x_5))))))
505_tecator,failed,0,lso,nan,nan,nan,nan,Input dimension 124 exceeds max_input_dimension 10,0.001,
522_pm10,success,7,lso,0.176673351742757,0.7774516151881212,58,3341.538697719574,,0.001,(2.2998505834736838 add ((-0.19507846273022753 mul x_2) add ((0.30887174711712884 mul x_0) add ((-0.0009749322527740434 mul x_4) sub ((-0.5645535637377754 mul cos((-2.073748698891413 add (-0.42230126466519186 mul x_2)))) add ((-0.19637144914152305 mul cos((-5.48478857169341 add (-9.40769807812182 mul x_3)))) add ((-0.05597697601850829 mul abs(((0.510625033075042 mul x_3) add (-1.0032508245538643 mul x_1)))) add (0.03176242069500429 mul abs(((9.986901214713694 mul inv((0.9449272490039202 add (-6.303661997766903 mul x_3)))) add (-0.7038561605639473 mul x_1)))))))))))
527_analcatdata_election2000,failed,0,lso,nan,nan,nan,nan,Input dimension 14 exceeds max_input_dimension 10,0.001,
529_pollen,success,4,lso,0.7972567050243619,1.4267996082919894,13,278.59608244895935,,0.001,(0.013326027158919687 add (((-0.8467707016396293 mul x_0) sub (-0.21796963873878936 mul x_1)) sub (0.39308447690136095 mul x_3)))
