dataset,status,n_features,refinement_type,r2,rmse,complexity,seconds,error,noise_strength,expr
feynman_II_21_32,success,5,lso,0.9858006703112144,0.0058103971631390285,31,402.07920932769775,,0.01,(0.0021338771453218853 add (inv((-1.0043751237503964 add (23.377538037755976 mul x_2))) mul (inv((-1.5464001057869903 add (30.54392906252857 mul x_1))) mul (((2.633987711178885 mul x_0) add (6.928643870126204 mul exp(((-0.0962802985647509 mul x_4) sub (-0.3468151848221447 mul x_3))))))**2)))
feynman_II_24_17,success,3,lso,0.9975032873706128,0.043339045214345215,20,24.406646728515625,,0.01,(-0.5166185288790054 add (inv((1.3140050910038221 add (8.909120101922657 mul x_1))) mul ((-2.5982032205462415 mul x_1) sub ((-10.428229057323914 mul x_0) add (-1.824282364217707 mul x_2)))))
feynman_II_27_16,success,3,lso,0.9979197291193568,4.053319141411811,22,25.710641384124756,,0.01,(-1.8070312742785892 add (((-6.004682891536838 add (-1.9876443492960885 mul x_1)))**2 mul (((-0.011943486326826255 add (-0.21698054484980858 mul x_2)))**2 mul abs((0.011312343959336515 add (0.42012803958179007 mul x_0))))))
feynman_II_27_18,success,2,lso,0.9999992983443122,0.021369224624182614,15,16.270935773849487,,0.01,(0.022789879922516826 add (((0.020914286989329085 add (-5.372843250753014 mul x_1)))**2 mul abs((0.00018443620471195066 add (-0.0347542422489598 mul x_0)))))
feynman_II_2_42,success,5,lso,0.9847568436905635,0.9318913969487925,22,378.5252380371094,,0.01,(-0.0073874585632125265 add (exp(((-0.44084185388896574 mul x_4) add ((0.32676611579527104 mul x_0) sub (-0.32026593224622657 mul x_3)))) mul ((1.5038543561143725 mul x_2) sub (1.500053356014766 mul x_1))))
feynman_II_34_11,success,4,lso,0.9978395292071522,0.23411569437480112,24,233.39762616157532,,0.01,(-0.048244360505113444 add (((3.001346381512973 add (1.0250605009939224 mul x_0)))**2 mul (inv((0.03356594434897571 add (5.794988557948133 mul x_3))) mul abs((-0.014768364691094304 add (-0.22763694309875543 mul (x_2 mul x_1)))))))
feynman_II_34_2,success,3,lso,0.9971166115909725,0.519684876387723,22,30.762505531311035,,0.01,(-0.32550225734637944 add (((0.13528277753191292 add (0.04495343799175699 mul x_2)))**2 mul (abs((0.1087482221215078 add (1.9568893984836322 mul x_0))) mul abs((-0.49762619712894335 add (-10.031849170597422 mul x_1))))))
feynman_II_34_29a,success,3,lso,0.9906722873945503,0.021996815780577238,22,23.734838485717773,,0.01,(-0.0075496131053171735 add (inv((-0.00253627981978523 add (1.448239164904785 mul x_2))) mul exp(((0.31981920824646665 mul x_1) add (-2.055309488920696 mul exp((0.30966499478385107 add (-0.35449728535328817 mul x_0))))))))
feynman_II_34_29b,success,5,lso,0.9963019072770024,13.414669001331397,31,414.12640285491943,,0.01,(-3.0784199321109607 add (((8.767905348731453 add (3.031721437683079 mul x_0)))**2 mul (inv((0.007768016921853642 add (1.6614384395857664 mul x_1))) mul (((-0.14525189125229046 add (-0.04793975945257425 mul x_4)))**2 mul abs((0.44413256680677127 add (3.2799244190352668 mul (x_3 mul x_2))))))))
feynman_II_34_2a,success,3,lso,0.9975322528313595,0.02291009943406568,22,59.78759264945984,,0.01,(-0.0108260411374344 add (((-0.2807271652053728 add (-0.09589976606835122 mul x_0)))**2 mul (inv((0.026216879825230504 add (1.2456316050242273 mul x_2))) mul abs((0.09302522043197156 add (1.79415913199762 mul x_1))))))
