noise_strength,group,r2_mean,r2_std,r2_valid_count,total_count,recovery_rate,complexity_mean,complexity_std,complexity_count,seconds_mean,seconds_std,seconds_count
0,Strogatz,0.9343442058800442,0.15505809790955588,14,14,0.5,20.428571428571427,7.8532457867912875,14,67.14288766043526,90.84998580218226,14
0.001,Strogatz,0.9227387320655137,0.2350733391571114,14,14,0.5,20.642857142857142,8.363245634980501,14,75.52174707821437,123.54287609962837,14
0.01,Strogatz,0.9248680247109945,0.23749419605308036,14,14,0.5714285714285714,20.857142857142858,8.433412653225966,14,76.98209754058293,90.22018607962477,14
0.1,Strogatz,0.9595153835969921,0.08601095307476643,14,14,0.42857142857142855,20.714285714285715,7.468300355775847,14,335.4558620112283,224.9041848638279,14
