dataset,status,n_features,refinement_type,r2,rmse,complexity,seconds,error,noise_strength,expr
628_fri_c3_1000_5,success,5,lso,0.8339460661789233,0.3996236513565918,42,372.75123929977417,,0.1,(0.01901949958405262 add (inv((7.867940610638531 add (-0.4526350248382732 mul (x_2 mul x_2)))) mul ((-4.832192100982608 mul x_2) add ((8.88222172880718 mul sin(((-1.5840152477087486 mul x_1) add (-1.744774661447799 mul sin((-0.3040006967202536 add (0.8364650407507259 mul x_0))))))) sub ((2.939116328564921 mul x_1) add ((-3.21031773023782 mul x_3) add (-5.8412739973855725 mul x_4)))))))
631_fri_c1_500_5,success,5,lso,0.946014585924722,0.27001934562894214,40,678.8504133224487,,0.1,(-0.22785192631024737 add ((0.39644933242389113 mul x_3) add ((0.19501703504682613 mul x_4) sub ((0.00948822359684705 mul x_2) sub (1.3908450779197457 mul cos((4.334492434760701 add (-0.462782998355602 mul (((-0.10454540227691567 mul ((5.782652604634785 add (-0.0049694180772653675 mul x_4)))**2) add (-1.7415268431558832 mul x_1)) mul ((1.3027551989281438 add (0.2099585591400884 mul x_0)))**2)))))))))
633_fri_c0_500_25,failed,0,lso,nan,nan,nan,nan,Input dimension 25 exceeds max_input_dimension 10,0.1,
634_fri_c2_100_10,success,10,lso,0.17742423453540124,0.8490994857590017,41,531.268984079361,,0.1,(-0.8583792863791524 add (inv((-32.735263136643816 add (2.0659131410643257 mul x_4))) mul ((11.573817476258245 mul x_2) sub ((16.673853160936947 mul x_3) add ((88.77545568044478 mul x_1) sub ((3.4410946385475323 mul x_0) add ((-6.389664862960696 mul x_4) add ((-3.0688859154417094 mul x_5) add (121.27584488858442 mul arctan((-0.38604690073126097 add (1.4670781110659454 mul x_1))))))))))))
635_fri_c0_250_10,success,10,lso,0.8316346081765444,0.3971212814566303,44,780.4586777687073,,0.1,(-14.218560480028065 add (inv((-13.412585427597747 add (0.39678490076735956 mul x_0))) mul ((-5.079249834825644 mul x_1) sub ((3.8073823802100577 mul x_4) add ((0.12851556966269365 mul abs((1.7567657279932236 add (-62.8490068385249 mul x_2)))) sub ((-8.241847997268893 mul x_3) sub ((-0.5826792323150579 mul x_6) sub (-186.07209651027622 mul sin((1.560764334315255 add (0.14834825603042281 mul (x_0 mul x_1))))))))))))
637_fri_c1_500_50,failed,0,lso,nan,nan,nan,nan,Input dimension 50 exceeds max_input_dimension 10,0.1,
641_fri_c1_500_10,success,10,lso,0.8752413575824118,0.3482247844805182,64,966.9631812572479,,0.1,(-1.0905302364309517 add (inv((-78.67610324319853 add (4.1486000633483355 mul x_2))) mul ((-15.77346974374021 mul x_3) sub ((14.773463423383213 mul x_3) add ((1.0189622200326622 mul (x_1 mul (x_1 mul x_5))) sub ((-0.2821316481464617 mul (inv((-16.111070983117504 add (1.87107599949362 mul x_4))) mul ((0.09005665530009527 mul x_9) add (-5.568834071207495 mul ((31.9594757446412 add (-6.186705425361715 mul x_1)))**2)))) sub (106.41705792929315 mul sin(((-52.2266450480123 mul (x_0 mul sin((0.020533050112744925 add (0.02449731379792016 mul x_1))))) add (-0.0028728913711802643 mul x_7))))))))))
643_fri_c2_500_25,failed,0,lso,nan,nan,nan,nan,Input dimension 25 exceeds max_input_dimension 10,0.1,
644_fri_c4_250_25,failed,0,lso,nan,nan,nan,nan,Input dimension 25 exceeds max_input_dimension 10,0.1,
645_fri_c3_500_50,failed,0,lso,nan,nan,nan,nan,Input dimension 50 exceeds max_input_dimension 10,0.1,
646_fri_c3_500_10,success,10,lso,0.6187830330263491,0.5419857913725633,49,869.5579335689545,,0.1,(-0.08083528674573821 add ((-0.7447353478302763 mul x_0) add ((0.03535726332969923 mul x_6) sub ((-0.01633668071168304 mul ((x_7 mul ((1.5972466799244895 mul x_2) sub (-0.8926608369978931 mul x_8))) mul x_8)) add ((-0.4082263482925458 mul x_3) sub ((0.032619592469159804 mul abs(((-1.2200634781941524 mul x_7) add (10.343732958387369 mul x_4)))) add (1.4486983365437671 mul (x_1 mul sin((-8.075895121695712 add (1.8086322327819389 mul x_0)))))))))))
647_fri_c1_250_10,success,10,lso,0.8147846824071593,0.4402222091305492,51,559.800861120224,,0.1,(-0.39052195841229176 add ((0.372480345750365 mul x_3) sub ((0.005870567415254176 mul (((x_0 mul (x_6 mul x_1)) mul (x_5 mul inv((-0.4074771552694145 add (-8.990596015510155 mul x_8))))) mul ((-14.339407927224315 mul x_2) sub (7.936576237449473 mul x_1)))) add (1.2843758331760442 mul sin((5.999715690186672 add (-0.21082112631289074 mul (((9.365310323660301 add (6.0584601943233825 mul x_0)))**2 mul inv((9.010130169681846 add (1.445715697732912 mul x_2)))))))))))
