dataset,status,n_features,refinement_type,r2,rmse,complexity,seconds,error,noise_strength,expr
1030_ERA,success,4,lso,-0.45879504924730363,2.6129952829075447,59,682.2995193004608,,0.001,(2.7935016236559975 add ((-0.6909117558452571 mul (((-1.9567562689267906 mul sin((-4.200244797648366 add (-31.531408290341943 mul x_1)))) add (0.3141473527072426 mul sqrt((91.72048738995666 add (-0.04329039975065748 mul x_3))))) mul ((-0.059463662566090786 mul x_3) sub (-3.714582279524022 mul sqrt((0.33657264327383135 add (4.538999418874122 mul x_1))))))) add ((0.6372786959839013 mul sqrt((94.37653732175386 add (3.994210795804193 mul x_2)))) add ((0.17533743438993674 mul x_0) add (0.07630100488602422 mul (x_1 mul ((2.50835290149163 mul x_1) add (0.2 mul x_5))))))))
1089_USCrime,failed,0,lso,nan,nan,nan,nan,Input dimension 13 exceeds max_input_dimension 10,0.001,
1096_FacultySalaries,success,4,lso,0.7312804167062991,3.169107880808843,28,268.712304353714,,0.001,(20.23910537539236 add ((-1180.191066006307 mul (sin((21.993231313174057 add (9.420773032763448 mul x_0))) mul sin((46.780206383189416 add (5.1419374309112875 mul (x_2 mul inv((3.4790952114815616 add (-0.2517158145527051 mul x_1))))))))) add (0.3904864984984143 mul x_1)))
1199_BNG_echoMonths,success,9,lso,0.32578354087434935,12.013592140484821,61,1064.4945747852325,,0.001,(2301.1208391860164 add (((1.3766322471630303 mul x_2) sub ((-37.03181575186593 mul (inv((2866.681364560839 add (17.348071136105226 mul x_1))) mul ((5.413509989210508 mul (((7.462996553199648 mul x_5) sub (-1.1217413142891468 mul x_6)) mul ((-7.600978155207869 mul x_0) sub (-2.647895251993619 mul exp((1.1532778471537137 add (-0.1890207298322369 mul x_3))))))) sub (52.21467525622876 mul x_4)))) sub (-1457.4641627837555 mul arctan(((3272.0311094377744 mul x_4) add (737.570775428627 mul x_6)))))) add (0.12024094571009614 mul ((12.64048163005141 add (-7.349634818398723 mul x_7)))**2)))
192_vineyard,success,2,lso,0.5006548520824909,3.8218561266538353,26,521.6260144710541,,0.001,(12.594907485348015 add ((1.8004069283877286 mul x_0) add (-4.635512653029168 mul cos(((10.611374291238535 mul cos((0.2929064807736804 add (8.611357816642675 mul x_0)))) add (0.17874921247428527 mul inv((0.1166144601892864 add (-0.0030435603944951777 mul x_1)))))))))
197_cpu_act,failed,0,lso,nan,nan,nan,nan,Input dimension 21 exceeds max_input_dimension 10,0.001,
218_house_8L,success,8,lso,0.47128568502581825,35060.39665153924,48,943.488493680954,,0.001,(92006.72773030812 add ((-6.547503213206084 mul ((-105.53421678614569 add (1401.2203244713628 mul x_1)))**2) sub (-93.06343968854792 mul (((0.3461455169459143 mul (((-11.99269221645927 mul x_7) add (-6.66188277870065 mul x_4)))**2) sub (-39.6260963402602 mul arctan((-0.7213098337844326 add (-0.00595795127750138 mul x_0))))) mul ((0.21323909537846986 mul x_6) sub ((7.1964269694799 mul x_5) add ((-17.909855562857235 mul x_3) add (38.14921070237248 mul x_2))))))))
225_puma8NH,success,8,lso,0.30631071486679806,4.1300778204225965,39,607.4155948162079,,0.001,(0.16960390341939477 add ((1.9298114020343404 mul x_1) sub ((-0.0013484052187554823 mul abs(((359.4697940950396 mul x_0) add (354.4724070565393 mul x_0)))) add (5.434138555043668 mul cos(((-3.5260602248262907 mul cos((-1.050681369663809 add (0.4496099725515397 mul x_2)))) add (-273.9421536501975 mul arctan(((0.003942665008157839 mul x_1) add (0.0004942836484720854 mul x_5))))))))))
227_cpu_small,failed,0,lso,nan,nan,nan,nan,Input dimension 12 exceeds max_input_dimension 10,0.001,
228_elusage,success,2,lso,0.38717003658854754,21.0702094915999,23,370.9146556854248,,0.001,(87.65039151484028 add ((-5.161194766479804 mul sin((-84.96615571822994 add (7.5185399101118895 mul x_1)))) sub ((0.9346053157364677 mul x_0) add (-19.88024957330161 mul inv((-18.339465517643447 add (0.5887834853938847 mul x_0)))))))
230_machine_cpu,success,6,lso,0.7552355519490449,64.22491035809959,25,215.93877506256104,,0.001,(19.402879715313667 add ((0.7768049920465525 mul (((-1.372799000446984 mul cos((-340.4544080918191 add (8.206484295718125 mul x_4)))) add (0.0005074752702387139 mul x_2)))**2) add ((-0.00783022413187634 mul x_0) sub (-1.193671196574294 mul x_3))))
505_tecator,failed,0,lso,nan,nan,nan,nan,Input dimension 124 exceeds max_input_dimension 10,0.001,
522_pm10,success,7,lso,0.12460389467910016,0.9497435369192587,45,750.9126765727997,,0.001,(3.489640002219337 add (((0.16208675756212218 mul x_0) add ((0.17634100465119987 mul x_5) add (2.281138988573575 mul cos((0.1884074644923266 add (0.1919151917854603 mul x_1)))))) mul ((0.05905100731453838 mul cos((-10.529072196391297 add (-0.10382993683050935 mul x_4)))) add (0.5857515749796246 mul ((inv((24.768173832782217 add (-5.988541261190055 mul x_0))) mul x_2) mul sin((0.8446043345852828 add (2.4650092028640733 mul x_3))))))))
527_analcatdata_election2000,failed,0,lso,nan,nan,nan,nan,Input dimension 14 exceeds max_input_dimension 10,0.001,
529_pollen,success,4,lso,0.8321802819292345,1.4364174299325165,13,236.28053736686707,,0.001,(-0.03586264614950732 add ((0.1920136844148049 mul x_1) sub ((0.95122926081917 mul x_0) sub (-0.44607229275567695 mul x_3))))
537_houses,success,8,lso,0.36576272621476,78601.99985529663,26,474.47321939468384,,0.001,(99290.97798007065 add ((1794.437543060614 mul (((-8.464825789595125 mul cos((-1.741440269746627 add (0.20733672529964467 mul x_0)))) add (-3.216478828912825 mul arctan((-466265.3329319231 add (2566.4902035646805 mul x_2))))))**2) add (-1013.3738640620861 mul x_1)))
542_pollution,failed,0,lso,nan,nan,nan,nan,Input dimension 15 exceeds max_input_dimension 10,0.001,
547_no2,success,7,lso,0.4829189915840968,0.5598177771604859,35,377.35315775871277,,0.001,(6.3223562031313225 add (inv((-0.5467081535902858 add (19.54447579573066 mul x_0))) mul ((245.42839550931555 mul arctan((-2.425096419268669 add (-0.07082863495630186 mul x_1)))) add ((-19.997301730999787 mul x_2) sub ((-0.022507239017805998 mul (x_6 mul x_3)) sub ((-1.3811165815257953 mul x_5) add (0.10262251931149331 mul x_4)))))))
560_bodyfat,failed,0,lso,nan,nan,nan,nan,Input dimension 14 exceeds max_input_dimension 10,0.001,
561_cpu,success,7,lso,0.9904085711028668,12.880096571346824,36,15.167590141296387,,0.001,(9.581969344399397 add ((-0.5331261090636801 mul x_0) add ((-0.1739912079442813 mul (abs((-179343.89020033824 add (-15.003658916730975 mul x_3))) mul ((-1.0612668287819659e-07 mul x_2) sub ((9.477371675179636e-06 mul x_4) add (1.0459472957254379e-05 mul x_6))))) sub ((-0.003054840222110595 mul x_3) sub (-0.0061299256750962094 mul (x_1 mul x_5))))))
562_cpu_small,failed,0,lso,nan,nan,nan,nan,Input dimension 12 exceeds max_input_dimension 10,0.001,
564_fried,success,10,lso,0.9106585021926334,1.4754138312931424,36,501.686808347702,,0.001,(4.988624203917512 add ((4.976146830654287 mul x_4) sub ((-9.921645914733004 mul x_3) add ((-26.572063436071918 mul (inv((46.45894043682558 add (46.83980192147738 mul x_5))) mul exp((2.5569733373901484 add (-11.011641315875025 mul x_2))))) add (3.7967673608326695 mul arctan((1.192720783912585 add (-9.461479701480338 mul (x_0 mul x_1)))))))))
573_cpu_act,failed,0,lso,nan,nan,nan,nan,Input dimension 21 exceeds max_input_dimension 10,0.001,
574_house_16H,failed,0,lso,nan,nan,nan,nan,Input dimension 16 exceeds max_input_dimension 10,0.001,
579_fri_c0_250_5,success,5,lso,0.9042907948262924,0.2985742357662408,39,598.3679566383362,,0.001,(20.436227477688885 add ((22.17412616737699 mul sin((4.729601336801477 add (0.15883667348029212 mul x_2)))) add ((0.8091576697733915 mul arctan((0.13735768338790488 add (0.46827675889379705 mul x_4)))) sub ((-0.5979112231172523 mul x_3) add (-2.307827376898703 mul (cos((6.693761919454227 add (-0.5659701930726481 mul x_1))) mul cos((0.46412841195746285 add (-0.5503567464730343 mul x_0)))))))))
581_fri_c3_500_25,failed,0,lso,nan,nan,nan,nan,Input dimension 25 exceeds max_input_dimension 10,0.001,
582_fri_c1_500_25,failed,0,lso,nan,nan,nan,nan,Input dimension 25 exceeds max_input_dimension 10,0.001,
