dataset,status,n_features,refinement_type,r2,rmse,complexity,seconds,error,noise_strength,expr
574_house_16H,failed,0,lso,nan,nan,nan,nan,Input dimension 16 exceeds max_input_dimension 10,0.0,
579_fri_c0_250_5,success,5,lso,0.9577256641861885,0.20969273618833184,38,8224.246554374695,,0.0,(-1.5872760300263642 add ((0.6170084874152563 mul x_3) add ((0.3356952300194641 mul (x_2 mul x_2)) add ((0.2950179401474086 mul x_4) add (2.193461758871474 mul cos(((-0.4358023621587113 mul x_1) add (10.939433177876113 mul sin((-0.5324784617338153 add (-0.09633604500222993 mul (x_0 mul cos((7.318478455115252 add (-0.3284426916100622 mul x_1)))))))))))))))
581_fri_c3_500_25,failed,0,lso,nan,nan,nan,nan,Input dimension 25 exceeds max_input_dimension 10,0.0,
582_fri_c1_500_25,failed,0,lso,nan,nan,nan,nan,Input dimension 25 exceeds max_input_dimension 10,0.0,
583_fri_c1_1000_50,failed,0,lso,nan,nan,nan,nan,Input dimension 50 exceeds max_input_dimension 10,0.0,
584_fri_c4_500_25,failed,0,lso,nan,nan,nan,nan,Input dimension 25 exceeds max_input_dimension 10,0.0,
586_fri_c3_1000_25,failed,0,lso,nan,nan,nan,nan,Input dimension 25 exceeds max_input_dimension 10,0.0,
588_fri_c4_1000_100,failed,0,lso,nan,nan,nan,nan,Input dimension 100 exceeds max_input_dimension 10,0.0,
589_fri_c2_1000_25,failed,0,lso,nan,nan,nan,nan,Input dimension 25 exceeds max_input_dimension 10,0.0,
590_fri_c0_1000_50,failed,0,lso,nan,nan,nan,nan,Input dimension 50 exceeds max_input_dimension 10,0.0,
