noise_strength,group,r2_mean,r2_var,r2_valid_count,total_count,recovery_rate,complexity_mean,complexity_var,complexity_count,seconds_mean,seconds_var,seconds_count
0,Feynman,0.9856150303161556,0.000317131715274392,119,119,1.0,23.88235294117647,53.41473059812161,119,300.9716686561328,121729.90680466517,119
0,Strogatz,0.9343442058800442,0.024043013727329417,14,14,0.8571428571428571,20.428571428571427,61.67346938775511,14,67.14288766043526,8253.719920256719,14
0,Black-box,0.48596442773857573,0.1859488939128566,64,107,0.32710280373831774,34.38235294117647,144.3243944636678,68,1683.1068430157268,5384038.393292697,68
0.001,Feynman,0.9852509463913202,0.0004102139428424973,119,119,0.9915966386554622,23.630252100840337,47.02295035661323,119,281.689781723904,128908.6951975257,119
0.001,Strogatz,0.9227387320655137,0.055259474782474324,14,14,0.9285714285714286,20.642857142857142,69.9438775510204,14,75.52174707821437,15262.842234968126,14
0.001,Black-box,0.5069182979568317,0.18585755759080322,66,107,0.34579439252336447,33.955882352941174,167.8362889273356,68,1609.4942944295267,4858425.46937581,68
0.01,Feynman,0.984222747556422,0.00037795703735332383,119,119,1.0,23.51260504201681,50.51874867594096,119,286.28035865711564,96806.97178503712,119
0.01,Strogatz,0.9248680247109945,0.05640349315889897,14,14,0.9285714285714286,20.857142857142858,71.12244897959182,14,76.98209754058293,8139.681976242119,14
0.01,Black-box,0.49603521521688904,0.18312171017616563,67,107,0.34579439252336447,34.38235294117647,195.35380622837368,68,1534.935194625574,5718613.281561516,68
0.1,Feynman,0.9818831312246679,0.0010143570043264747,119,119,0.9831932773109243,21.899159663865547,60.72932702492762,119,537.5993117885429,104076.46803621613,119
0.1,Strogatz,0.9595153835969921,0.0073978840488296725,14,14,0.9285714285714286,20.714285714285715,55.77551020408164,14,335.4558620112283,50581.892369262874,14
0.1,Black-box,0.4451578939520599,0.1796668934174629,63,107,0.2897196261682243,36.720588235294116,192.14251730103803,68,1715.55985697578,7897406.203168134,68
