dataset,status,n_features,refinement_type,r2,rmse,complexity,seconds,error,noise_strength,expr
1030_ERA,success,4,lso,0.42543456487215847,1.4875648359607732,80,33895.347476005554,,0.001,(1.1126473013093807 add ((-0.12006018360466601 mul x_2) add ((((0.21254844034000223 mul x_2) sub (-0.001635476271236612 mul (((-0.24831199876862903 mul x_1) sub (3.543720375631023 mul cos((-0.28745096958698063 add (-0.614208954028646 mul x_1))))) mul ((68.27053552593902 mul cos((-1.0735756168299828 add (-7.756003685927079 mul x_3)))) add (-3.02127995259438 mul x_0))))) sub (0.13516226499098577 mul (((-0.37032039474983136 mul x_2) add (17.973446811447683 mul cos((6.93666699052299 add (0.18625385395764674 mul x_1))))) mul ((0.057596985447289244 mul x_1) sub (-0.32159563547753395 mul cos((5.078197199779119 add (-1.4255448874506842 mul (sin((-0.10927161494291651 add (-48.01017624774909 mul x_3))) mul x_2))))))))) add ((0.08053368660931035 mul x_3) add (0.15203966936126592 mul x_0)))))
1089_USCrime,failed,0,lso,nan,nan,nan,nan,Input dimension 13 exceeds max_input_dimension 10,0.001,
1096_FacultySalaries,success,4,lso,0.8897374435312538,2.0300250334558614,11,518.4812846183777,,0.001,(23.22244367978589 add (((-0.0063447395642336896 mul x_2) sub (-0.014634173167615519 mul x_1)) mul x_3))
1199_BNG_echoMonths,success,9,lso,0.44867826291574253,11.75044624967833,63,31537.083424329758,,0.001,(120.28355827264407 add ((((0.4755219316678008 mul x_8) add (-4.287976168830321 mul cos((1.5161678439449413 add (-0.0004748582764183833 mul x_3))))))**2 mul (((-59.06517034128234 mul x_2) sub ((-0.0023706325833790713 mul ((203.2333011423393 add (-9.812260673203205 mul x_4)))**2) sub (0.16218201441036104 mul (((-59.52809362442777 mul x_5) sub (7.599727223921841 mul (((0.021803233865676373 mul x_6) add (-1.1900115958736281 mul x_7)) mul x_1))) mul ((-0.4577877113871416 mul x_0) sub (0.005379902804642035 mul x_1)))))) sub (1938.4871107444783 mul cos((5.741296183731366 add (-12.094359008276726 mul x_0)))))))
192_vineyard,success,2,lso,0.39280997602012435,4.214404633101337,35,8354.370654582977,,0.001,(13.227502940839225 add ((1.694183286058941 mul cos((-1.476990290139989 add (2.2115824004161966 mul x_1)))) add ((4.72198638942395 mul cos(((2.9030339122292776 mul cos((-0.5718581405507782 add (8.183518659265006 mul x_0)))) add (2.647382961523118 mul cos((-1.0065516129948548 add (98.27220285083575 mul x_0))))))) add (1.187743758502455 mul x_0))))
197_cpu_act,failed,0,lso,nan,nan,nan,nan,Input dimension 21 exceeds max_input_dimension 10,0.001,
218_house_8L,success,8,lso,0.4792927801682013,37981.96476103989,40,4924.238085508347,,0.001,(-22412.953446093434 add ((4.228655616106367 mul ((-132.14253140117526 add (384.20572351523583 mul x_2)))**2) sub ((-7.521862016717721 mul (((-81.3229797718041 mul cos((39.863309485418455 add (-8.277324658073626 mul x_1)))) add (-21.14864528457095 mul x_6)))**2) add ((12942.012277003301 mul ((x_4 mul x_7) mul x_5)) sub (-0.08401626590140669 mul (x_3 mul x_0))))))
225_puma8NH,success,8,lso,0.6837543572451844,3.2126006104577085,25,3387.4800312519073,,0.001,(-0.19205689084524832 add (((5.249054368833785 mul sin(((1.0391593471389222 mul x_1) add (1.2048331538254136 mul x_2)))) sub (0.052402490241239254 mul x_0)) add (3.554678200295606 mul sin((0.9482554358623623 add (1.0083746827984164 mul x_1))))))
227_cpu_small,failed,0,lso,nan,nan,nan,nan,Input dimension 12 exceeds max_input_dimension 10,0.001,
228_elusage,success,2,lso,0.5802782273668996,17.43731476399713,23,2753.874895811081,,0.001,(21.10111786538677 add (((0.00011625396144396631 mul x_0) sub (-0.0019716886118536395 mul sin((-0.1471352012446013 add (-0.162783826063771 mul (x_0 mul x_1)))))) mul ((-212.54591633303414 add (2.9904998866836565 mul x_0)))**2))
